forecast_termin,runended,time,temperature,windDirection,windSpeed_mps,windSpeed_beaufort,windSpeed_name,windGust,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds,dewpointTemperature,windSpeed_kmh,row_id,location
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T12:00:00Z,27,268.7,1.2,1,Flau vind,,89,1002,100,0,1.6,100,24.8,4.32,1,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T13:00:00Z,26.7,286.7,2.6,2,Svak vind,,90,1002.8,100,0.8,0.8,100,24.7,9.36,2,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T14:00:00Z,26.1,3.9,4,3,Lett bris,,90.8,1003.1,100,1.6,3.1,100,24.5,14.4,3,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T15:00:00Z,25.6,357.4,3.9,3,Lett bris,,92.7,1003.4,100,11.7,49.2,100,24.3,14.04,4,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T16:00:00Z,25.3,336.4,2.9,2,Svak vind,,95.5,1003.2,100,13.3,45.3,100,24.5,10.44,5,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T17:00:00Z,25.6,310.8,3,2,Svak vind,,92.4,1002.7,100,0,10.9,100,24.3,10.8,6,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T18:00:00Z,25.4,304.7,3.1,2,Svak vind,,93.9,1002.3,100,11.7,11.7,100,24.3,11.16,7,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T19:00:00Z,25.3,318.6,3.4,3,Lett bris,,94.1,1002.3,100,18.7,17.2,100,24.3,12.24,8,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T20:00:00Z,24.7,325,4.1,3,Lett bris,,97.5,1002.4,100,78.1,75,100,24.3,14.76,9,Stanley
2023-09-03T12:00:00Z,2023-09-03T11:35:23Z,2023-09-03T21:00:00Z,25,317.4,5.3,3,Lett bris,,96.4,1002,100,3.1,4.7,100,24.3,19.08,10,Stanley
