forecast_termin,runended,time,temperature,windDirection,windSpeed_mps,windSpeed_beaufort,windSpeed_name,windGust,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds,dewpointTemperature,windSpeed_kmh,row_id,location
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T16:00:00Z,22.3,161.9,4.5,3,Lett bris,,99.4,1014.2,100,73.4,0,100,21.9,16.2,1,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T17:00:00Z,22.4,162.5,4.7,3,Lett bris,,99.6,1014,100,87.5,0,99.2,21.9,16.92,2,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T18:00:00Z,22.3,160.9,5.1,3,Lett bris,,99.8,1013.6,100,95.3,0,99.2,21.9,18.36,3,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T19:00:00Z,22.2,158.3,5.4,3,Lett bris,,99.7,1013.2,100,93,0,100,21.9,19.44,4,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T20:00:00Z,22.2,157.4,5.5,4,Laber bris,,99.5,1013.1,99.2,93,0,88.3,21.8,19.8,5,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T21:00:00Z,22.2,159.6,5.2,3,Lett bris,,99.7,1013.5,100,93.7,0,100,21.8,18.72,6,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T22:00:00Z,22.1,160.7,4.5,3,Lett bris,,99.5,1014.4,96.1,92.2,0,51.6,21.7,16.2,7,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-23T23:00:00Z,22.2,157.7,4.1,3,Lett bris,,99.6,1015,99.2,93,0,97.7,21.8,14.76,8,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T00:00:00Z,23.1,159.4,3.8,3,Lett bris,,96.4,1016,100,78.1,0,100,22,13.68,9,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T01:00:00Z,24.6,163.2,4.1,3,Lett bris,,88.9,1016.9,95.3,46.1,0,91.4,21.7,14.76,10,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T02:00:00Z,26,164.5,4.3,3,Lett bris,,83.3,1017.2,99.2,39.1,0,99.2,21.6,15.48,11,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T03:00:00Z,26.8,165.1,4.4,3,Lett bris,,80.5,1017.1,95.3,32,0,93.7,21.5,15.84,12,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T04:00:00Z,27.4,164,4.2,3,Lett bris,,76.9,1016.6,94.5,36.7,0,90.6,21.3,15.12,13,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T05:00:00Z,27.7,162.3,4.3,3,Lett bris,,75.8,1015.8,57.8,36.7,0,32.8,21.2,15.48,14,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T06:00:00Z,27.7,161,4.4,3,Lett bris,,75,1015,51.6,45.3,0,11.7,21.1,15.84,15,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T07:00:00Z,27.1,157.2,4.2,3,Lett bris,,79.3,1014.3,47.7,47.7,0,0,21.5,15.12,16,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T08:00:00Z,26.5,158.7,4.1,3,Lett bris,,81.4,1013.7,68,68,0,0,21.4,14.76,17,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T09:00:00Z,25.5,153.8,3.8,3,Lett bris,,84.6,1013.5,51.6,51.6,0,0,21.5,13.68,18,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T10:00:00Z,24.2,148.2,3.6,3,Lett bris,,92.4,1013.7,33.6,32,0,1.6,21.9,12.96,19,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T11:00:00Z,22.7,124.6,3,2,Svak vind,,98.8,1014.2,96.1,95.3,0,13.3,22,10.8,20,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T12:00:00Z,22.5,115.8,2.7,2,Svak vind,,99.2,1014.8,92.2,92.2,0,3.9,22.1,9.72,21,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T13:00:00Z,22.6,111.6,2.7,2,Svak vind,,99.1,1015.6,91.4,91.4,0,0,22.2,9.72,22,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T14:00:00Z,22.5,116.1,2.8,2,Svak vind,,99.3,1016.1,70.3,70.3,0,0,22.1,10.08,23,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T15:00:00Z,22.5,122.2,2.9,2,Svak vind,,99.5,1016,80.5,72.7,0,26.6,22.2,10.44,24,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T16:00:00Z,22.5,129.9,3.3,2,Svak vind,,99.7,1015.3,76.6,76.6,0,0,22.1,11.88,25,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T17:00:00Z,22.4,135.1,3.7,3,Lett bris,,99.6,1014.5,93.7,93.7,0.8,0,22.1,13.32,26,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T18:00:00Z,22.4,141,3.6,3,Lett bris,,99.5,1013.8,98.4,98.4,0,0,22.1,12.96,27,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T19:00:00Z,22.4,146.1,3.3,2,Svak vind,,99.8,1013.4,98.4,98.4,0,0,22,11.88,28,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T20:00:00Z,22.5,148.8,3.4,3,Lett bris,,99.8,1013.3,100,100,0,0,22,12.24,29,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T21:00:00Z,22.5,155,3.8,3,Lett bris,,99.9,1013.7,100,100,0,0,22.1,13.68,30,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T22:00:00Z,22.5,163.2,3.9,3,Lett bris,,99.7,1014.4,100,100,0,0,22.2,14.04,31,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-24T23:00:00Z,22.6,173.7,3.7,3,Lett bris,,99.5,1015.1,100,100,0,0,22.3,13.32,32,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-25T00:00:00Z,23.4,186.4,4,3,Lett bris,,93.8,1015.6,69.5,69.5,0,0,22,14.4,33,Stanley
2024-03-23T13:00:00Z,2024-03-23T13:28:12Z,2024-03-25T01:00:00Z,24.9,186.4,4.4,3,Lett bris,,87.6,1016.2,74.2,74.2,0,0,21.8,15.84,34,Stanley
